code_commune,nb_ventes_total,nb_ventes_dependances,nb_ventes_appartements,nb_ventes_maisons,valeur_fonciere_mediane,nb_lots_moyen,part_dependances
01001,19,5,0,5,110360.0,0.0,26.32
01002,46,3,0,3,199900.0,0.0,6.52
01004,230,84,36,38,195000.0,0.5,36.52
01005,18,6,2,5,256322.5,0.2,33.33
01006,8,0,0,4,135000.0,0.0,0.0
01007,82,12,0,20,199900.0,0.0,14.63
01008,3,1,0,2,255000.0,0.3,33.33
01009,21,0,0,1,2622.0,0.0,0.0
01010,52,3,2,4,105000.0,0.1,5.77
01012,13,0,0,1,2250.0,0.0,0.0
01013,5,2,1,0,93000.0,0.6,40.0
01014,61,24,7,7,174000.0,0.1,39.34
01015,62,0,0,1,21000.0,0.0,0.0
01016,4,0,0,0,7805.0,0.0,0.0
01017,3,0,0,1,57000.0,0.0,0.0
01019,4,1,0,1,176000.0,0.0,25.0
01021,18,6,0,6,298500.0,0.0,33.33
01022,25,10,2,7,165000.0,0.0,40.0
01023,15,0,0,0,9586.8,0.0,0.0
01024,81,15,5,11,90000.0,0.2,18.52
01025,76,0,0,13,2500.0,0.0,0.0
01026,33,7,6,5,138000.0,0.1,21.21
01027,34,2,0,6,185008.0,0.0,5.88
01028,12,0,0,1,1.0,0.0,0.0
01029,5,0,0,3,125000.0,0.0,0.0
01030,6,3,2,1,155000.0,0.8,50.0
01031,73,26,34,5,211000.0,0.8,35.62
01032,45,5,2,6,205000.0,0.7,11.11
01033,415,169,89,35,184540.89,0.9,40.72
01034,143,53,22,17,117000.0,0.7,37.06
01035,29,5,0,4,6042.56,0.0,17.24
01036,66,6,0,15,190000.0,0.0,9.09
01037,31,0,0,1,12224.25,0.0,0.0
01038,27,1,0,3,6000.0,0.0,3.7
01040,24,4,0,8,140000.0,0.0,16.67
01041,35,3,0,7,10090.0,0.0,8.57
01043,90,29,9,17,260000.0,0.4,32.22
01044,21,1,0,4,199000.0,0.1,4.76
01045,9,0,1,1,215000.0,0.0,0.0
01046,13,3,0,5,315000.0,0.0,23.08
01047,12,4,0,7,314000.0,0.0,33.33
01049,50,9,2,8,155000.0,0.1,18.0
01050,26,0,0,4,13236.52,0.0,0.0
01051,1,0,0,0,5000.0,0.0,0.0
01052,3,1,0,1,380000.0,0.0,33.33
01053,698,369,202,48,132500.0,1.2,52.87
01054,15,0,0,5,280000.0,0.0,0.0
01056,214,1,0,1,4382.08,0.0,0.47
01057,23,1,0,3,45702.53,0.0,4.35
01058,13,1,0,2,59000.0,0.0,7.69
01060,9,0,0,3,3500.0,0.0,0.0
01061,12,4,0,4,195000.0,0.0,33.33
01062,1,0,0,0,178500.0,0.0,0.0
01063,10,2,0,2,71250.0,0.0,20.0
01064,30,6,2,4,99150.0,0.0,20.0
01065,36,11,0,9,292000.0,0.0,30.56
01066,15,1,0,3,1900.0,0.0,6.67
01067,3,0,0,0,5000.0,0.0,0.0
01068,17,1,0,3,8000.0,0.0,5.88
01069,7,0,0,1,5000.0,0.0,0.0
01071,83,25,11,15,380000.0,0.5,30.12
01072,69,16,10,15,232500.0,0.1,23.19
01073,39,8,1,5,25000.0,0.1,20.51
01074,89,12,9,16,235000.0,0.1,13.48
01075,20,1,1,4,2401.25,0.1,5.0
01076,4,1,0,1,194950.0,0.0,25.0
01077,6,2,0,1,116515.0,0.0,33.33
01078,24,8,3,4,398000.0,0.5,33.33
01079,13,0,0,2,45000.0,0.0,0.0
01080,3,0,0,1,100000.0,0.0,0.0
01081,16,0,0,1,2900.0,0.0,0.0
01082,46,0,0,0,2532.7,0.0,0.0
01083,34,4,1,9,185000.0,0.1,11.76
01084,15,6,0,6,332000.0,0.0,40.0
01085,2,0,0,0,206002.0,0.0,0.0
