code_commune,nb_stations_irve,nb_points_charge
01004,3,9
01005,4,4
01014,8,16
01021,2,2
01022,1,1
01033,3,5
01052,2,2
01053,28,164
01067,1,5
01071,8,14
01104,1,1
01105,2,2
01109,2,4
01142,1,5
01143,12,30
01173,8,14
01195,16,96
01207,2,2
01210,2,4
01229,5,25
01244,3,12
01248,2,10
01254,4,4
01261,2,2
01281,4,8
01288,2,4
01289,2,2
01313,2,4
01318,2,2
01320,4,4
01353,2,2
01354,4,8
01362,2,2
01371,2,2
01382,2,2
01389,2,2
01393,2,2
01398,2,2
01399,8,40
01405,10,50
01419,2,4
01423,2,2
01424,2,2
01435,2,4
01443,2,2
01446,2,2
01451,8,64
02018,4,8
02064,1,2
02095,4,8
02168,8,38
02173,28,260
02303,10,75
02340,22,122
02381,10,75
02408,27,196
02511,2,4
02554,2,2
02602,4,8
02648,12,72
02691,83,818
02722,27,345
02738,10,50
02810,10,50
02820,16,68
03036,4,16
03102,8,16
03145,1,5
03185,8,64
03190,8,64
03195,6,18
03301,4,8
03310,1,1
03321,1,7
04033,1,2
04070,11,110
04088,2,2
04102,1,2
04108,3,9
04112,16,102
04126,1,2
04143,1,3
04166,2,2
04171,1,2
04186,2,2
04209,1,6
04244,1,1
05023,12,40
05046,4,16
05061,11,11
05096,9,18
05170,6,10
05177,2,4
05179,10,50
06003,2,4
06004,45,181
06007,2,4
06010,2,4
06012,19,171
06018,12,24
06022,2,4
06025,2,2
06026,2,4
06027,2,4
06028,2,4
06029,36,72
06030,25,45
06033,7,17
06038,2,4
06044,2,4
06045,2,4
06046,4,8
06058,2,4
06065,4,8
06068,2,4
06069,32,64
06070,2,4
06073,2,4
06079,16,32
06081,2,4
06083,9,29
06084,25,45
06085,16,33
06088,147,2355
06089,2,4
06090,4,8
06095,22,140
06099,1,1
06105,4,8
06108,2,4
06112,2,4
06114,2,2
06116,2,4
06118,2,4
06123,2,4
06127,2,4
06128,3,6
06129,2,4
06130,2,4
06134,2,4
06137,2,4
06138,6,12
06140,2,4
06148,2,4
06152,33,205
06153,2,4
06155,9,17
06156,2,4
06157,2,4
06161,10,20
07019,18,243
07064,4,8
07077,5,10
07101,4,8
07110,1,2
07129,2,4
07138,5,18
07162,1,3
07167,2,4
07186,12,54
07201,6,12
07207,4,8
07273,1,2
07304,1,1
07306,2,4
07328,2,4
07330,2,4
07334,5,25
07349,3,9
08053,8,16
08105,37,360
08107,4,8
08190,6,36
08362,8,64
08486,10,50
08497,2,4
09122,7,29
09194,1,3
09225,36,181
09306,6,26
09332,19,169
10006,2,2
10012,1,3
10018,6,18
10030,2,2
10081,30,186
10325,14,147
10333,11,110
10340,12,72
10343,28,196
10345,4,8
10357,8,64
10387,34,198
11014,1,7
11068,2,21
11069,52,322
11076,2,2
11103,2,4
11138,2,4
11144,6,18
11150,2,4
11188,18,144
11206,16,80
11255,5,13
11262,9,21
11369,3,9
11381,1,1
11397,6,18
11410,2,4
12084,5,15
12115,1,5
12145,1,1
12176,1,7
12202,6,12
12208,3,3
12264,28,200
12270,1,1
12300,36,276
13001,89,657
13002,8,16
13003,2,4
13004,52,437
13005,14,26
13006,2,4
13007,2,4
13008,2,4
13009,2,4
13010,2,4
13014,4,8
13015,38,408
13017,2,4
13018,2,4
13019,3,7
13021,4,8
13022,8,40
13023,4,12
13024,2,4
13026,8,16
13027,4,8
13028,24,216
13029,2,4
13030,2,4
13031,42,220
13032,2,4
13033,2,4
13034,2,4
13035,2,4
13036,2,4
13037,2,4
13038,2,4
13039,4,8
13040,2,4
13041,9,18
13042,4,8
13043,4,8
13044,8,16
13045,4,8
13046,2,4
13047,48,112
13048,2,4
13049,2,4
13050,4,8
13051,2,4
13052,2,4
13053,2,4
13054,8,16
13055,80,843
13056,10,20
13057,2,4
13058,4,8
13059,2,4
13060,2,4
13061,2,4
13062,2,4
13063,4,8
13064,2,4
13065,2,4
13066,2,4
13068,2,4
13069,2,4
13070,2,4
13071,39,263
13072,2,4
13073,2,4
13074,2,4
13075,4,8
13076,7,14
13077,13,114
13078,2,4
13079,2,4
13080,2,4
13081,4,8
13083,2,4
13084,2,4
13085,2,4
13086,12,26
13087,2,4
13088,2,4
13089,2,4
13091,2,4
13092,6,12
13093,4,8
13094,2,4
13096,5,18
13097,8,16
13098,12,54
13099,2,4
13100,12,31
13101,2,4
13102,4,8
13103,57,613
13104,2,4
13105,2,4
13106,2,4
13107,2,4
13109,2,4
13110,3,7
13111,2,4
13112,2,4
13113,2,4
13114,2,4
13115,2,4
13116,2,4
13117,19,125
13118,2,4
13119,2,4
14047,33,411
14117,19,61
14118,9,41
14167,2,4
14225,6,36
14228,1,2
14242,6,36
14258,6,36
14271,40,800
14301,2,10
14327,21,128
14333,18,108
14341,4,8
14342,14,98
14366,13,97
14370,4,8
14437,22,155
14487,4,8
14488,11,55
14514,6,18
14515,4,8
14536,6,36
14654,6,18
14699,6,18
14762,14,98
15014,2,4
15119,22,206
15138,10,40
15153,4,8
15219,3,6
15236,2,4
16005,4,8
16015,12,108
16028,6,20
16078,62,474
16085,4,16
16102,6,36
16106,4,16
16150,4,8
16154,11,57
16166,6,18
16167,2,4
16171,2,4
16196,2,4
16200,2,4
16211,2,4
16212,2,4
16225,2,4
16280,34,298
16286,2,4
16291,4,8
16292,4,8
16295,2,4
16317,2,4
16358,4,12
16369,2,4
16374,32,342
16393,4,8
17010,27,202
17038,15,103
17051,5,9
17058,12,72
17140,4,4
17161,5,11
17168,6,18
17185,2,6
17193,4,4
17219,4,4
17225,1,2
17228,2,4
17230,6,12
17274,14,98
17284,8,32
17299,1,5
17300,22,61
17306,16,121
17323,2,4
17333,2,4
17338,1,2
17354,1,5
17369,4,8
17380,2,4
17396,10,50
17411,2,4
17415,12,59
17434,2,4
17449,12,72
17452,4,4
17461,2,4
17485,2,4
18018,2,4
18033,54,373
18091,2,10
18096,1,3
18241,1,1
18242,1,1
19005,4,8
19007,2,2
19010,2,2
19011,2,4
19013,2,4
19028,2,2
19031,42,399
19035,4,8
19037,3,9
19050,2,4
19072,2,4
19073,2,2
19101,16,128
19121,6,18
19123,8,22
19130,2,2
19153,4,8
19255,4,8
