code_commune,nb_parkings_metro,nb_places_metro
33032,1,151
33039,2,598
33063,57,25439
33069,4,835
33075,3,415
33162,1,624
33167,3,1013
33200,1,204
33249,3,1032
33281,11,9021
33312,1,151
33318,6,1057
33376,1,117
33522,2,914
33550,1,753
69029,2,308
69034,1,78
69040,1,-1
69046,1,-1
69069,2,-2
69091,1,-1
69112,1,-1
69123,92,16029
69149,3,198
69153,1,-1
69194,1,-1
69202,1,-1
69244,1,-1
69256,3,-3
69259,2,291
69266,12,358
69275,4,102
69276,1,78
69278,1,-1
69282,2,103
69286,1,-1
69290,1,-1
69299,1,1968
75056,125,49995
