code_commune,nom_commune,nb_menages_fiscaux,nb_personnes,revenu_q1,revenu_median,revenu_q3,revenu_d1,revenu_d9,part_revenus_activite,part_retraites,ecart_interdecile
01001,L'Abergement-Clémenciat,346.0,895.0,,25820.0,,,,,,
01002,L'Abergement-de-Varey,115.0,266.0,,24480.0,,,,,,
01004,Ambérieu-en-Bugey,6855.0,15092.0,15800.0,21660.0,28430.0,11890.0,36450.0,72.3,25.3,3.07
01005,Ambérieux-en-Dombes,800.0,2028.0,20010.0,24610.0,31180.0,15560.0,40580.0,81.5,21.4,2.61
01006,Ambléon,51.0,107.0,,24210.0,,,,,,
01007,Ambronay,1184.0,2874.0,19490.0,24860.0,31530.0,15170.0,39460.0,77.2,26.2,2.6
01008,Ambutrix,326.0,753.0,,26300.0,,,,,,
01009,Andert-et-Condon,157.0,380.0,,24810.0,,,,,,
01010,Anglefort,481.0,1122.0,,24700.0,,,,,,
01011,Apremont,161.0,405.0,,24530.0,,,,,,
01012,Aranc,144.0,324.0,,24270.0,,,,,,
01013,Arandas,67.0,127.0,,22180.0,,,,,,
01014,Arbent,1361.0,3438.0,17120.0,22410.0,28690.0,12790.0,38770.0,69.8,29.0,3.03
01015,Arboys en Bugey,313.0,734.0,,23800.0,,,,,,
01016,Arbigny,187.0,473.0,,23080.0,,,,,,
01017,Argis,194.0,419.0,,20790.0,,,,,,
01021,Ars-sur-Formans,565.0,1423.0,,26430.0,,,,,,
01022,Artemare,574.0,1158.0,,22000.0,,,,,,
01024,Attignat,1406.0,3395.0,19760.0,24460.0,29570.0,15300.0,37690.0,78.1,25.8,2.46
01025,Bâgé-Dommartin,1628.0,4204.0,20060.0,24880.0,30450.0,16110.0,37730.0,79.4,23.0,2.34
01026,Bâgé-le-Châtel,434.0,942.0,,22860.0,,,,,,
01027,Balan,712.0,1899.0,,25770.0,,,,,,
01028,Baneins,227.0,598.0,,25520.0,,,,,,
01029,Beaupont,274.0,652.0,,21350.0,,,,,,
01030,Beauregard,364.0,826.0,,24240.0,,,,,,
01031,Bellignat,1479.0,3238.0,14850.0,20550.0,27430.0,11210.0,35500.0,65.9,32.8,3.17
01032,Béligneux,1184.0,3117.0,17930.0,23060.0,29720.0,14460.0,38290.0,77.8,23.7,2.65
01033,Valserhône,6545.0,14862.0,16240.0,23780.0,34510.0,11090.0,48750.0,80.9,23.1,4.4
01034,Belley,4073.0,8591.0,15730.0,21180.0,27640.0,11510.0,36260.0,64.6,34.7,3.15
01035,Belleydoux,145.0,321.0,,26160.0,,,,,,
01036,Valromey-sur-Séran,592.0,1302.0,,23820.0,,,,,,
01037,Bénonces,126.0,285.0,,21770.0,,,,,,
01038,Bény,321.0,776.0,,24250.0,,,,,,
01039,Béon,214.0,492.0,,22130.0,,,,,,
01040,Béréziat,195.0,516.0,,23440.0,,,,,,
01041,Bettant,336.0,747.0,,25150.0,,,,,,
01042,Bey,126.0,305.0,,25520.0,,,,,,
01043,Beynost,1963.0,5041.0,22710.0,28730.0,37830.0,17010.0,49170.0,82.1,24.9,2.89
01044,Billiat,276.0,616.0,,28550.0,,,,,,
01045,Birieux,106.0,278.0,,28180.0,,,,,,
01046,Biziat,354.0,873.0,,24260.0,,,,,,
01047,Blyes,484.0,1277.0,,27110.0,,,,,,
01049,La Boisse,1279.0,3396.0,20700.0,26780.0,34170.0,15940.0,43540.0,81.5,24.1,2.73
01050,Boissey,136.0,359.0,,23180.0,,,,,,
01052,Bouligneux,126.0,316.0,,27630.0,,,,,,
01053,Bourg-en-Bresse,18870.0,37019.0,14200.0,20210.0,27160.0,10440.0,35770.0,65.3,33.2,3.43
01054,Bourg-Saint-Christophe,573.0,1571.0,,27320.0,,,,,,
01056,Boyeux-Saint-Jérôme,150.0,343.0,,21640.0,,,,,,
01057,Boz,204.0,468.0,,24300.0,,,,,,
01058,Brégnier-Cordon,344.0,801.0,,23420.0,,,,,,
01060,Brénod,244.0,548.0,,24970.0,,,,,,
01061,Brens,460.0,1183.0,,25110.0,,,,,,
01062,Bressolles,374.0,988.0,,28710.0,,,,,,
01063,Brion,246.0,574.0,,25400.0,,,,,,
01064,Briord,470.0,1135.0,,23440.0,,,,,,
01065,Buellas,794.0,1985.0,,26810.0,,,,,,
01067,Ceignes,103.0,245.0,,25900.0,,,,,,
01068,Cerdon,334.0,734.0,,21410.0,,,,,,
01069,Certines,671.0,1583.0,,25570.0,,,,,,
01071,Cessy,1961.0,4845.0,26190.0,42540.0,62720.0,16720.0,86560.0,97.0,14.5,5.18
01072,Ceyzériat,1392.0,3231.0,19840.0,25320.0,32610.0,15220.0,41750.0,76.3,27.5,2.74
01073,Ceyzérieu,457.0,1045.0,,25250.0,,,,,,
01074,Chalamont,1029.0,2423.0,18210.0,23720.0,29530.0,13460.0,36870.0,78.8,23.7,2.74
01075,Chaleins,555.0,1462.0,,24890.0,,,,,,
01076,Chaley,86.0,150.0,,21070.0,,,,,,
01077,Challes-la-Montagne,92.0,184.0,,24620.0,,,,,,
01078,Challex,561.0,1340.0,,44460.0,,,,,,
01079,Champagne-en-Valromey,308.0,677.0,,22770.0,,,,,,
01080,Champdor-Corcelles,281.0,630.0,,23720.0,,,,,,
01081,Champfromier,322.0,726.0,,27400.0,,,,,,
01082,Chanay,215.0,492.0,,27880.0,,,,,,
01083,Chaneins,384.0,992.0,,25580.0,,,,,,
01084,Chanoz-Châtenay,342.0,909.0,,24050.0,,,,,,
01085,La Chapelle-du-Châtelard,151.0,396.0,,26330.0,,,,,,
01087,Charix,118.0,281.0,,27320.0,,,,,,
01088,Charnoz-sur-Ain,380.0,975.0,,28140.0,,,,,,
01089,Château-Gaillard,896.0,2353.0,19830.0,25170.0,30770.0,15540.0,37250.0,83.4,21.6,2.4
01090,Châtenay,154.0,368.0,,24090.0,,,,,,
01092,Châtillon-la-Palud,674.0,1650.0,,25470.0,,,,,,
01093,Châtillon-sur-Chalaronne,2349.0,4775.0,18350.0,23430.0,30280.0,13920.0,38660.0,65.8,34.9,2.78
01094,Chavannes-sur-Reyssouze,320.0,756.0,,23460.0,,,,,,
01095,Nivigne et Suran,343.0,772.0,,23260.0,,,,,,
01096,Chaveyriat,410.0,1083.0,,23940.0,,,,,,
01098,Chazey-Bons,460.0,1133.0,,22520.0,,,,,,
01099,Chazey-sur-Ain,674.0,1601.0,,26780.0,,,,,,
01100,Cheignieu-la-Balme,74.0,129.0,,21090.0,,,,,,
01101,Chevillard,71.0,163.0,,26800.0,,,,,,
01102,Chevroux,399.0,1021.0,,23750.0,,,,,,
01103,Chevry,769.0,1952.0,,44010.0,,,,,,
01104,Chézery-Forens,196.0,428.0,,25230.0,,,,,,
01105,Civrieux,728.0,1964.0,,28920.0,,,,,,
01106,Cize,75.0,166.0,,23440.0,,,,,,
01107,Cleyzieu,64.0,138.0,,22370.0,,,,,,
01108,Coligny,554.0,1185.0,,23750.0,,,,,,
01109,Collonges,814.0,2144.0,21990.0,33820.0,48610.0,13380.0,66690.0,94.2,14.5,4.98
01110,Colomieu,69.0,155.0,,20800.0,,,,,,
01111,Conand,62.0,134.0,,21730.0,,,,,,
01112,Condamine,167.0,451.0,,25520.0,,,,,,
01113,Condeissiat,345.0,842.0,,23170.0,,,,,,
01114,Confort,238.0,587.0,,30140.0,,,,,,
01115,Confrançon,562.0,1373.0,,24350.0,,,,,,
01116,Contrevoz,212.0,474.0,,23210.0,,,,,,
01117,Conzieu,59.0,149.0,,22900.0,,,,,,
01118,Corbonod,454.0,1037.0,,27120.0,,,,,,
01121,Corlier,45.0,106.0,,24470.0,,,,,,
01123,Cormoranche-sur-Saône,462.0,1208.0,,25480.0,,,,,,
01124,Cormoz,314.0,732.0,,23440.0,,,,,,
01125,Corveissiat,278.0,633.0,,24010.0,,,,,,
01127,Courmangoux,228.0,510.0,,24080.0,,,,,,
01128,Courtes,134.0,297.0,,22520.0,,,,,,
01129,Crans,123.0,323.0,,26820.0,,,,,,
01130,Bresse Vallons,938.0,2433.0,19660.0,24120.0,29730.0,16070.0,36490.0,81.1,23.3,2.27
01133,Cressin-Rochefort,169.0,400.0,,23660.0,,,,,,
01134,Crottet,754.0,1856.0,,24310.0,,,,,,
01135,Crozet,796.0,2072.0,27380.0,44040.0,64790.0,13140.0,89530.0,90.6,17.0,6.81
01136,Cruzilles-lès-Mépillat,376.0,991.0,,25850.0,,,,,,
01138,Culoz,1260.0,2671.0,16740.0,21560.0,27570.0,12950.0,35600.0,67.4,32.7,2.75
01139,Curciat-Dongalon,195.0,461.0,,19790.0,,,,,,
01140,Curtafond,306.0,769.0,,26220.0,,,,,,
01141,Cuzieu,180.0,410.0,,25670.0,,,,,,
01142,Dagneux,1856.0,4720.0,19330.0,25320.0,31760.0,14190.0,40290.0,81.7,22.5,2.84
