code_commune,nb_coproprietes,total_lots,total_lots_habitation,total_lots_stationnement,lots_stationnement_moyen,nb_copro_avec_parking,lots_total_moyen,part_copro_avec_parking,copro_avant_1949,copro_a_compter_de_2011,copro_de_1949_a_1960,copro_de_1961_a_1974,copro_de_1975_a_1993,copro_de_1994_a_2000,copro_de_2001_a_2010,copro_non_connue,copro_non_renseigné
01001,1,2,2,0,0.0,0,2.0,0.0,1,0,0,0,0,0,0,0,0
01004,196,6016,2344,2186,11.2,129,30.7,65.82,33,38,8,25,20,8,25,20,19
01005,13,410,171,179,13.8,8,31.5,61.54,5,2,0,0,0,0,3,0,3
01006,2,5,4,0,0.0,0,2.5,0.0,0,0,0,0,0,0,0,1,1
01007,11,73,42,17,1.5,3,6.6,27.27,6,0,0,0,0,0,1,3,1
01008,2,14,5,6,3.0,1,7.0,50.0,2,0,0,0,0,0,0,0,0
01009,1,14,6,0,0.0,0,14.0,0.0,0,0,0,0,0,0,0,1,0
01010,8,72,38,30,3.8,1,9.0,12.5,4,1,1,1,0,0,1,0,0
01011,1,3,3,0,0.0,0,3.0,0.0,0,0,0,0,0,0,0,1,0
01012,2,9,4,0,0.0,0,4.5,0.0,2,0,0,0,0,0,0,0,0
01014,6,290,125,108,18.0,3,48.3,50.0,0,1,0,0,1,0,2,1,1
01017,4,118,42,5,1.2,1,29.5,25.0,1,0,0,0,1,0,0,2,0
01021,12,256,108,114,9.5,7,21.3,58.33,5,1,1,0,0,0,3,1,1
01022,7,34,16,3,0.4,2,4.9,28.57,2,0,0,0,1,0,0,2,2
01024,16,465,289,105,6.6,9,29.1,56.25,2,5,0,0,1,0,2,2,4
01025,2,26,10,11,5.5,2,13.0,100.0,0,0,0,0,0,1,0,0,1
01026,2,23,7,10,5.0,2,11.5,100.0,0,1,0,0,0,0,0,1,0
01027,10,137,58,46,4.6,6,13.7,60.0,7,1,1,0,1,0,0,0,0
01028,2,9,6,1,0.5,1,4.5,50.0,0,0,0,0,0,1,0,0,1
01029,1,2,2,0,0.0,0,2.0,0.0,1,0,0,0,0,0,0,0,0
01030,16,186,91,61,3.8,11,11.6,68.75,7,1,3,0,2,0,2,0,1
01031,13,850,336,99,7.6,5,65.4,38.46,3,0,0,0,5,0,2,1,2
01032,23,425,185,165,7.2,11,18.5,47.83,5,2,2,0,1,1,7,4,1
01033,215,7572,2928,1742,8.1,116,35.2,53.95,80,17,30,20,23,4,14,20,7
01034,137,4042,1582,1420,10.4,68,29.5,49.64,44,8,8,14,9,6,19,15,14
01035,1,9,3,2,2.0,1,9.0,100.0,1,0,0,0,0,0,0,0,0
01036,3,13,5,0,0.0,0,4.3,0.0,1,0,0,0,0,0,0,0,2
01038,1,9,2,0,0.0,0,9.0,0.0,0,0,0,0,0,0,0,0,1
01040,2,29,10,13,6.5,2,14.5,100.0,1,0,0,0,0,0,1,0,0
