code_commune,zone_abc,tension_immobiliere
01001,C,1
01002,C,1
01004,B1,3
01005,C,1
01006,C,1
01007,C,1
01008,C,1
01009,C,1
01010,C,1
01011,C,1
01012,C,1
01013,C,1
01014,C,1
01015,C,1
01016,C,1
01017,C,1
01019,C,1
01021,B2,2
01022,C,1
01023,C,1
01024,C,1
01025,C,1
01026,C,1
01027,B2,2
01028,C,1
01029,C,1
01030,B2,2
01031,C,1
01032,B2,2
01033,B1,3
01034,C,1
01035,C,1
01036,C,1
01037,C,1
01038,C,1
01040,C,1
01041,C,1
01042,C,1
01043,B1,3
01044,C,1
01045,C,1
01046,C,1
01047,B2,2
01049,B1,3
01050,C,1
01051,C,1
01052,C,1
01053,B1,3
01054,B1,3
01056,C,1
01057,C,1
01058,C,1
01060,C,1
01061,C,1
01062,B2,2
01063,C,1
01064,C,1
01065,C,1
01066,C,1
01067,C,1
01068,C,1
01069,C,1
01071,Abis,5
01072,C,1
01073,C,1
01074,C,1
01075,C,1
01076,C,1
01077,C,1
01078,Abis,5
01079,C,1
01080,C,1
01081,C,1
01082,C,1
01083,C,1
01084,C,1
01085,C,1
01087,C,1
01088,C,1
01089,C,1
01090,C,1
01092,C,1
01093,C,1
01094,C,1
01095,C,1
01096,C,1
01098,C,1
01099,C,1
01100,C,1
01101,C,1
01102,C,1
01103,Abis,5
01104,B2,2
01105,B1,3
01106,C,1
01107,C,1
01108,C,1
01109,A,4
01110,C,1
01111,C,1
01112,C,1
01113,C,1
01114,B2,2
01115,C,1
01116,C,1
01117,C,1
01118,C,1
01121,C,1
01123,C,1
01124,C,1
01125,C,1
01127,C,1
01128,C,1
01129,C,1
01130,C,1
01133,C,1
01134,C,1
01135,A,4
01136,C,1
01138,C,1
01139,C,1
01140,C,1
01141,C,1
01142,B1,3
01143,Abis,5
01145,C,1
01146,C,1
01147,C,1
01148,C,1
01149,C,1
01150,C,1
01151,C,1
01152,C,1
01153,A,4
01155,C,1
01156,C,1
01157,C,1
01158,A,4
01159,C,1
01160,Abis,5
01162,C,1
01163,C,1
01165,C,1
01166,B2,2
01167,C,1
01169,C,1
01170,C,1
01171,C,1
01173,Abis,5
01174,C,1
01175,C,1
01177,C,1
01179,C,1
01180,Abis,5
01181,C,1
01183,C,1
01184,C,1
01185,C,1
01187,C,1
01188,C,1
01189,C,1
01190,C,1
01191,C,1
01192,C,1
01193,C,1
01194,B1,3
01195,C,1
01196,C,1
01197,C,1
01198,C,1
01199,C,1
01200,C,1
01202,B1,3
01203,C,1
01204,C,1
01206,C,1
01207,C,1
01208,C,1
01209,B1,3
01210,B2,2
01211,C,1
01212,C,1
01213,C,1
01214,C,1
01215,C,1
01216,C,1
01219,C,1
01224,B1,3
01225,C,1
01227,C,1
01228,C,1
01229,C,1
01230,C,1
01231,C,1
01232,C,1
01233,C,1
01234,C,1
01235,C,1
01236,C,1
01237,C,1
01238,B1,3
01239,C,1
01240,C,1
01241,C,1
01242,C,1
01243,C,1
01244,B1,3
01245,C,1
01246,C,1
01247,B2,2
01248,B1,3
01249,B1,3
01250,B1,3
01252,C,1
01254,C,1
01255,C,1
01257,C,1
01258,C,1
01259,C,1
01260,C,1
01261,C,1
01262,B1,3
01263,C,1
01264,C,1
01265,C,1
01266,C,1
01267,C,1
01268,C,1
01269,C,1
01272,C,1
01273,C,1
01274,C,1
01275,B1,3
01276,B2,2
01277,C,1
01279,C,1
01280,C,1
01281,Abis,5
01282,C,1
01283,B2,2
01284,C,1
01285,B2,2
01286,C,1
01288,A,4
01289,B2,2
01290,B1,3
01291,C,1
01293,C,1
01294,C,1
01295,C,1
01296,C,1
01297,B2,2
01298,C,1
01299,C,1
01301,C,1
01302,C,1
01303,C,1
01304,C,1
01305,C,1
01306,C,1
01307,C,1
01308,Abis,5
01309,C,1
01310,C,1
01311,C,1
01313,Abis,5
01314,C,1
01317,C,1
01318,B2,2
01319,C,1
01320,C,1
01321,C,1
01322,B1,3
01323,C,1
01325,C,1
01328,C,1
01329,C,1
01331,C,1
01332,C,1
01333,B1,3
01334,C,1
01335,C,1
01336,C,1
01337,C,1
01338,C,1
01339,B2,2
01342,B2,2
01343,C,1
01344,B2,2
01345,C,1
01346,C,1
01347,B2,2
01348,C,1
01349,C,1
01350,C,1
01351,C,1
01352,C,1
01353,B2,2
01354,Abis,5
01355,C,1
01356,C,1
01357,C,1
01358,C,1
01359,C,1
01360,A,4
01361,C,1
01362,B2,2
01363,C,1
01364,C,1
01365,C,1
01366,C,1
01367,C,1
01368,C,1
01369,B2,2
01370,B2,2
01371,C,1
01372,C,1
01373,C,1
01374,C,1
01375,C,1
01376,B1,3
01378,B1,3
01379,C,1
01380,C,1
01381,C,1
01382,C,1
01383,C,1
01384,C,1
01385,C,1
01386,C,1
01387,C,1
01388,C,1
01389,C,1
01390,B2,2
01391,C,1
01392,C,1
01393,C,1
01396,C,1
01397,Abis,5
01398,C,1
01399,Abis,5
01400,C,1
01401,A,4
01402,C,1
01403,C,1
01404,C,1
01405,C,1
01406,C,1
01407,C,1
01408,C,1
01410,C,1
01411,C,1
01412,C,1
01415,C,1
01416,C,1
01418,B2,2
01419,A,4
01420,C,1
01421,C,1
01422,C,1
01423,B2,2
01424,B1,3
01425,C,1
01426,C,1
01427,B1,3
01428,C,1
01429,C,1
01430,C,1
01431,C,1
01432,C,1
01433,C,1
01434,C,1
01435,Abis,5
01436,A,4
01437,C,1
01439,C,1
01441,C,1
01443,B1,3
01444,C,1
01445,C,1
01446,C,1
01447,C,1
01448,C,1
01449,C,1
01450,B2,2
01451,B2,2
01452,C,1
01453,C,1
01454,C,1
01456,C,1
01457,C,1
02001,C,1
02002,C,1
02003,C,1
02004,C,1
02005,C,1
02006,C,1
02007,C,1
02008,C,1
02009,C,1
02010,C,1
02011,C,1
02012,C,1
02013,C,1
02014,C,1
02015,C,1
02016,C,1
02017,C,1
02018,C,1
02019,C,1
02020,C,1
02021,C,1
02022,C,1
02023,C,1
02024,C,1
02025,C,1
02027,C,1
02028,B2,2
02029,C,1
02030,C,1
02031,C,1
02032,C,1
02033,C,1
02034,C,1
02035,C,1
02036,C,1
02037,C,1
02038,C,1
02039,C,1
02040,C,1
02041,C,1
02042,C,1
02043,C,1
02044,C,1
02046,C,1
02047,C,1
02048,C,1
02049,C,1
02050,C,1
02051,C,1
02052,C,1
02053,C,1
02054,C,1
02055,C,1
02056,C,1
02057,C,1
02058,C,1
02059,C,1
02060,C,1
02061,C,1
02062,C,1
02063,C,1
02064,B2,2
02065,C,1
02066,C,1
02067,C,1
02068,C,1
02069,C,1
02070,C,1
02071,C,1
02072,C,1
02073,C,1
02074,C,1
02075,C,1
02076,C,1
02078,C,1
02079,C,1
02080,C,1
02081,C,1
02082,C,1
02083,C,1
02084,B2,2
02085,C,1
02086,C,1
02087,C,1
02088,C,1
02089,C,1
02090,C,1
02091,C,1
02093,C,1
02094,B2,2
02095,C,1
02096,C,1
02097,C,1
02098,C,1
02099,C,1
02100,C,1
02101,C,1
02102,C,1
02103,C,1
02104,C,1
02105,C,1
02106,C,1
02107,C,1
02108,C,1
02109,C,1
02110,C,1
02111,C,1
02112,C,1
02114,B2,2
02115,C,1
02116,C,1
02117,C,1
02118,C,1
02119,C,1
02120,C,1
02121,C,1
02122,C,1
02123,C,1
02124,C,1
02125,B2,2
02126,C,1
02127,C,1
02128,C,1
02129,C,1
02130,C,1
02131,C,1
02132,C,1
02133,C,1
02134,C,1
02135,C,1
02136,C,1
02137,B2,2
02138,C,1
02139,C,1
02140,C,1
02141,C,1
02142,B2,2
02143,C,1
02144,C,1
02145,C,1
02146,C,1
02148,C,1
02149,C,1
02150,C,1
02151,C,1
02152,C,1
02153,C,1
02154,C,1
02155,C,1
02156,C,1
02157,B2,2
02158,C,1
02159,C,1
02160,C,1
02162,C,1
02163,B2,2
02164,C,1
02165,C,1
02166,C,1
02167,C,1
02168,B1,3
02169,C,1
02170,C,1
02171,C,1
02172,C,1
02173,C,1
02174,C,1
02175,C,1
02176,C,1
02177,C,1
02178,C,1
02179,C,1
02180,C,1
02181,C,1
02182,C,1
02183,C,1
02184,C,1
02185,B2,2
02186,C,1
02187,B2,2
02188,C,1
02189,C,1
02190,C,1
02191,C,1
02192,C,1
02193,C,1
02194,C,1
02195,C,1
02196,C,1
02197,C,1
02198,C,1
02199,C,1
02200,C,1
02201,C,1
02203,C,1
02204,C,1
02205,C,1
02206,C,1
02207,C,1
02208,C,1
02209,C,1
02210,C,1
02211,C,1
02212,C,1
02213,C,1
02214,B2,2
02215,C,1
02216,B2,2
02217,C,1
02218,C,1
02219,C,1
02220,C,1
02221,B2,2
02222,C,1
02223,C,1
02224,C,1
02225,B2,2
02226,B2,2
02227,C,1
02228,C,1
02229,C,1
02230,C,1
02231,C,1
02232,B2,2
02233,C,1
02234,C,1
02235,C,1
02236,C,1
02237,C,1
02238,C,1
02239,C,1
02240,C,1
02241,C,1
02242,B2,2
02243,B2,2
02244,C,1
02245,B2,2
02246,C,1
02248,C,1
02249,C,1
02250,C,1
02251,C,1
02252,C,1
02253,C,1
02254,C,1
02255,C,1
02256,C,1
02257,B2,2
02258,B2,2
02259,C,1
02260,C,1
02261,C,1
02262,C,1
02263,C,1
02264,C,1
02265,C,1
02266,C,1
02267,C,1
02268,B2,2
02269,C,1
02270,C,1
02271,C,1
02272,C,1
02273,C,1
02274,C,1
02275,C,1
02276,C,1
02277,C,1
02278,C,1
02279,C,1
02280,C,1
02281,C,1
02282,C,1
02283,C,1
02284,C,1
02286,C,1
02287,C,1
02288,B2,2
02289,C,1
02290,B2,2
02291,C,1
02292,B2,2
02293,C,1
02294,C,1
02295,C,1
02296,C,1
02297,C,1
02298,C,1
02299,C,1
02302,C,1
02303,B2,2
02304,C,1
02305,C,1
02306,C,1
02307,B2,2
02308,C,1
02309,C,1
02310,B2,2
02312,C,1
02313,C,1
02315,C,1
02316,C,1
02317,C,1
02318,C,1
02319,B2,2
02320,C,1
02321,C,1
02322,B2,2
02323,C,1
02324,C,1
02326,C,1
02327,C,1
02328,C,1
02329,C,1
02330,C,1
02331,C,1
02332,C,1
02333,C,1
02334,C,1
02335,C,1
02336,C,1
02337,C,1
02338,C,1
02339,B2,2
02340,B2,2
02341,C,1
02342,C,1
02343,C,1
02345,C,1
02346,C,1
02347,C,1
02349,C,1
02350,C,1
02351,C,1
02352,C,1
02353,C,1
02354,C,1
02355,C,1
02356,C,1
02357,C,1
02358,C,1
02359,B2,2
02360,C,1
02361,C,1
02362,C,1
02363,C,1
02364,C,1
02366,C,1
02367,C,1
02368,C,1
02369,C,1
02370,C,1
02371,B2,2
02372,C,1
02373,C,1
02374,C,1
02375,B2,2
02376,C,1
02377,C,1
02378,C,1
02379,C,1
02380,C,1
02381,C,1
02382,C,1
02383,B2,2
02384,C,1
02385,C,1
02386,C,1
02387,C,1
02388,C,1
02389,C,1
02390,C,1
02391,C,1
02392,C,1
02393,C,1
02395,C,1
02396,C,1
02397,C,1
02398,C,1
02399,C,1
02400,C,1
02401,C,1
02402,C,1
02403,C,1
02404,C,1
02405,C,1
02406,C,1
02407,C,1
02408,B2,2
02409,C,1
02410,B2,2
02411,C,1
02412,C,1
02413,C,1
02414,C,1
02415,C,1
02416,C,1
02417,C,1
02418,C,1
02419,C,1
02420,B2,2
02421,C,1
02422,C,1
02423,C,1
02424,C,1
02425,C,1
02426,C,1
02427,C,1
02428,C,1
02429,C,1
02430,C,1
02431,C,1
02432,C,1
02433,C,1
02435,C,1
02438,B2,2
02439,C,1
02440,C,1
02441,C,1
02442,C,1
02443,C,1
02444,C,1
02445,C,1
02446,C,1
02447,C,1
02448,C,1
02449,C,1
02450,C,1
02451,C,1
02452,C,1
02453,C,1
02454,C,1
02455,C,1
02456,C,1
02457,C,1
02458,B2,2
02459,B2,2
02460,C,1
02461,C,1
02462,C,1
02463,C,1
02464,C,1
02465,B2,2
02466,C,1
02467,C,1
02468,C,1
02469,C,1
02470,C,1
02471,C,1
02472,C,1
02473,C,1
02474,C,1
02476,C,1
02477,B2,2
02478,C,1
02480,C,1
02481,B2,2
02482,C,1
02483,C,1
02484,C,1
02485,C,1
02486,C,1
02487,C,1
02488,C,1
02489,C,1
02490,C,1
02491,C,1
02492,C,1
02493,C,1
02494,C,1
02495,C,1
02496,B2,2
02497,C,1
02498,C,1
02499,C,1
02500,C,1
02501,C,1
02502,C,1
02503,C,1
02504,C,1
02505,C,1
02506,C,1
02507,C,1
02508,C,1
02509,C,1
02510,C,1
02511,C,1
02512,B2,2
02513,C,1
02514,C,1
02515,C,1
02516,C,1
02517,C,1
02518,C,1
02519,C,1
02520,C,1
02521,B2,2
02522,C,1
02523,C,1
02524,C,1
02525,B2,2
02526,C,1
02527,C,1
02528,C,1
02529,C,1
02530,C,1
02531,C,1
02532,C,1
02533,C,1
02534,C,1
02535,C,1
02536,C,1
02537,C,1
02538,C,1
02539,C,1
02540,C,1
02541,C,1
02542,C,1
02543,B2,2
02544,C,1
02545,C,1
02546,C,1
02547,C,1
02548,C,1
02549,B2,2
02550,C,1
02551,C,1
02552,C,1
02553,C,1
02554,B2,2
02555,B2,2
02556,C,1
02557,C,1
02558,C,1
02559,C,1
02560,C,1
02561,C,1
02562,C,1
02563,C,1
02564,C,1
02565,C,1
02566,C,1
02567,C,1
02568,C,1
02569,C,1
02570,C,1
02571,B2,2
02572,C,1
02573,C,1
02574,C,1
02575,C,1
02576,C,1
02577,C,1
02578,C,1
02579,C,1
02580,C,1
02581,C,1
02582,C,1
02583,C,1
02584,C,1
02585,C,1
02586,C,1
02587,C,1
02588,C,1
02589,C,1
02590,C,1
02591,C,1
02592,C,1
02593,C,1
02594,B2,2
02595,C,1
02596,B2,2
02598,C,1
02599,C,1
02600,C,1
02601,C,1
02602,C,1
02604,C,1
02605,C,1
02606,C,1
02607,C,1
02608,C,1
02609,C,1
02610,C,1
02612,C,1
02613,C,1
02614,C,1
02615,C,1
02616,C,1
02617,C,1
02618,C,1
02619,C,1
02620,C,1
02621,C,1
02622,B2,2
02623,C,1
02624,C,1
02625,C,1
02626,C,1
02627,C,1
02628,C,1
02629,C,1
02631,C,1
02632,C,1
02633,C,1
02634,C,1
02635,C,1
02636,C,1
02637,B2,2
02638,C,1
02639,C,1
02640,C,1
02641,C,1
02642,C,1
02643,C,1
02644,C,1
02645,C,1
02647,C,1
02648,C,1
02649,C,1
02650,C,1
02651,C,1
02652,C,1
02653,C,1
02654,C,1
02655,C,1
02656,C,1
02657,C,1
02658,C,1
02659,B2,2
02660,C,1
02661,C,1
02662,C,1
02663,C,1
02664,C,1
02665,C,1
02666,C,1
02667,C,1
02668,C,1
02670,C,1
02671,C,1
02672,C,1
02673,C,1
02674,C,1
02675,C,1
02676,C,1
02677,C,1
02678,C,1
02679,B2,2
02680,C,1
02681,C,1
02682,C,1
02683,C,1
02684,C,1
02685,C,1
02686,C,1
02687,C,1
02688,C,1
02689,C,1
02690,C,1
02691,B1,3
02693,C,1
02694,C,1
02696,C,1
02697,C,1
02698,C,1
02699,C,1
02701,C,1
02702,C,1
02703,C,1
02704,C,1
02705,C,1
02706,C,1
02707,C,1
02708,C,1
02709,C,1
02710,C,1
02711,C,1
02712,C,1
02713,C,1
02714,C,1
02715,C,1
02716,C,1
02717,C,1
02718,C,1
02719,C,1
02720,C,1
02721,C,1
02722,B1,3
02723,C,1
02724,C,1
02725,C,1
02726,C,1
02727,C,1
02728,C,1
02729,C,1
02730,C,1
02731,C,1
02732,C,1
02734,C,1
02735,C,1
02736,C,1
02737,C,1
02738,C,1
02739,C,1
02740,C,1
02741,C,1
02742,C,1
02743,C,1
02744,C,1
02745,C,1
02746,C,1
02747,C,1
02748,C,1
02749,C,1
02750,C,1
02751,C,1
02752,C,1
02753,C,1
02754,C,1
02755,C,1
02756,C,1
02757,C,1
02758,C,1
02759,C,1
02760,C,1
02761,C,1
02762,C,1
02763,C,1
02764,C,1
02765,C,1
02766,C,1
02767,C,1
02768,C,1
02769,C,1
02770,B2,2
02772,C,1
02773,C,1
02774,C,1
02775,C,1
02776,C,1
02777,C,1
02778,C,1
02779,C,1
02780,C,1
02781,C,1
02782,C,1
02783,C,1
02784,C,1
02785,C,1
02786,C,1
02787,C,1
02788,C,1
02789,C,1
02790,C,1
02791,C,1
02792,B2,2
02793,C,1
02794,C,1
02795,C,1
02796,B2,2
02797,C,1
02798,B2,2
02799,B2,2
02800,C,1
02801,C,1
02802,C,1
02803,C,1
02804,C,1
02805,B2,2
02806,C,1
02807,C,1
02808,C,1
02809,C,1
02810,B1,3
02812,C,1
02813,C,1
02814,C,1
02815,C,1
02816,C,1
02817,C,1
02818,C,1
02819,C,1
02820,C,1
02821,C,1
02822,C,1
02823,C,1
02824,C,1
02826,C,1
02827,C,1
02828,C,1
02829,C,1
02830,C,1
02831,C,1
02832,C,1
02833,C,1
02834,C,1
03001,B2,2
03002,C,1
03003,C,1
03004,C,1
03005,C,1
03006,C,1
03007,C,1
03008,C,1
03009,C,1
03010,C,1
03011,C,1
03012,C,1
03013,C,1
03014,C,1
03015,C,1
03016,C,1
03017,C,1
03018,C,1
03019,C,1
03020,C,1
03021,C,1
03022,C,1
03023,B2,2
03024,C,1
03025,C,1
03026,C,1
03027,C,1
03028,C,1
03029,C,1
03030,C,1
03031,C,1
03032,C,1
03033,C,1
03034,C,1
03035,C,1
03036,C,1
03037,C,1
03038,C,1
03039,C,1
03040,C,1
03041,C,1
03042,C,1
03043,C,1
03044,C,1
03045,C,1
03046,C,1
03047,C,1
03048,C,1
03049,C,1
03050,C,1
03051,C,1
03052,C,1
03053,C,1
03054,C,1
03055,C,1
03056,C,1
03057,C,1
03058,C,1
03059,C,1
03060,C,1
03061,C,1
03062,C,1
03063,C,1
03064,C,1
03065,C,1
03066,C,1
03067,C,1
03068,C,1
03069,C,1
03070,C,1
03071,C,1
03072,C,1
03073,C,1
03074,C,1
03075,C,1
03076,C,1
03077,C,1
03078,C,1
03079,C,1
03080,C,1
03081,C,1
03082,C,1
03083,C,1
03084,C,1
03085,C,1
03086,C,1
03087,C,1
03088,C,1
03089,C,1
03090,C,1
03091,C,1
03092,C,1
03093,B2,2
03094,B2,2
03095,B2,2
03096,C,1
03097,C,1
03098,B2,2
03099,C,1
03100,C,1
03101,B2,2
03102,C,1
03103,C,1
03104,C,1
03105,C,1
03106,C,1
03107,C,1
03108,C,1
03109,C,1
03110,C,1
03111,C,1
03112,C,1
03113,C,1
03114,C,1
03115,C,1
03116,C,1
03117,C,1
03118,C,1
03119,C,1
03120,C,1
03121,C,1
03122,C,1
03124,C,1
03125,C,1
03126,B2,2
03127,C,1
03128,C,1
03129,C,1
03130,C,1
03131,C,1
03132,C,1
03133,C,1
03134,C,1
03135,C,1
03136,C,1
03137,C,1
03138,C,1
03139,C,1
03140,B2,2
03141,C,1
03142,C,1
03143,C,1
03144,C,1
03145,C,1
03146,C,1
03147,C,1
03148,C,1
03149,C,1
03150,C,1
03151,C,1
03152,C,1
03154,C,1
03155,C,1
03156,C,1
03157,C,1
03158,C,1
03159,C,1
03160,C,1
03161,C,1
03162,C,1
03163,C,1
03164,C,1
03165,C,1
03166,C,1
03167,C,1
03168,C,1
03169,C,1
03170,C,1
03171,C,1
03172,C,1
03173,C,1
03174,C,1
03175,C,1
03176,C,1
03177,C,1
03178,C,1
03179,C,1
03180,C,1
03181,C,1
03182,C,1
03183,C,1
03184,C,1
03185,B2,2
03186,C,1
03187,C,1
03188,C,1
03189,C,1
03190,C,1
03191,C,1
03192,C,1
03193,C,1
03194,C,1
03195,C,1
03196,C,1
03197,C,1
03198,C,1
03200,C,1
03201,C,1
03202,C,1
03203,C,1
03204,C,1
03205,C,1
03206,C,1
03207,C,1
03208,C,1
03209,C,1
03210,C,1
03211,B2,2
03212,B2,2
03213,C,1
03214,C,1
03215,C,1
03216,C,1
03217,C,1
03218,C,1
03219,C,1
03220,C,1
03221,C,1
03222,C,1
03223,C,1
03224,C,1
03225,C,1
03226,C,1
03227,C,1
03228,C,1
03229,C,1
03230,C,1
03231,C,1
03232,C,1
03233,C,1
03234,C,1
03235,C,1
03236,C,1
03237,C,1
03238,C,1
03239,C,1
03240,C,1
03241,C,1
03242,C,1
03243,C,1
03244,C,1
03245,C,1
03246,C,1
03247,C,1
03248,C,1
03249,C,1
03250,C,1
03251,C,1
03252,C,1
03253,C,1
03254,C,1
03255,C,1
03256,C,1
03257,C,1
03258,C,1
03259,C,1
03260,C,1
03261,C,1
03262,B2,2
03263,C,1
03264,B2,2
03265,C,1
03266,C,1
03267,C,1
03268,C,1
03269,C,1
03270,C,1
03271,B2,2
03272,C,1
03273,C,1
03274,C,1
03275,C,1
03276,C,1
03277,C,1
03278,C,1
03279,C,1
03280,C,1
03281,C,1
03282,C,1
03283,C,1
03284,C,1
03285,C,1
03286,C,1
03287,C,1
03288,C,1
03289,C,1
03290,C,1
03291,C,1
03292,C,1
03293,C,1
03294,C,1
03295,C,1
03296,C,1
03297,C,1
03298,C,1
03299,C,1
03300,C,1
03301,C,1
03302,C,1
03303,C,1
03304,C,1
03305,C,1
03306,B2,2
03307,C,1
03308,C,1
03309,C,1
03310,B2,2
03311,C,1
03312,C,1
03313,C,1
03314,C,1
03315,C,1
03316,C,1
03317,C,1
03319,C,1
03320,C,1
03321,C,1
04001,C,1
04004,C,1
04005,C,1
04006,C,1
04007,C,1
04008,C,1
04009,C,1
04012,C,1
04013,C,1
04016,C,1
04017,C,1
04018,C,1
04019,C,1
04020,C,1
04021,C,1
04022,C,1
04023,C,1
04024,C,1
04025,C,1
04026,C,1
04027,C,1
04028,C,1
04030,C,1
04031,C,1
04032,C,1
04033,C,1
04034,B2,2
04035,C,1
04036,C,1
04037,C,1
04039,C,1
04040,C,1
04041,C,1
04042,C,1
04043,C,1
04045,C,1
04046,C,1
04047,C,1
04049,C,1
04050,C,1
04051,C,1
04053,C,1
04054,C,1
04055,C,1
04057,C,1
04058,C,1
04059,C,1
04061,C,1
04062,C,1
04063,B2,2
04065,C,1
04066,C,1
04067,C,1
04068,C,1
04069,C,1
04070,C,1
04072,C,1
04073,B1,3
04074,C,1
04075,C,1
04076,C,1
04077,C,1
04079,C,1
04081,B2,2
04084,C,1
04085,C,1
04086,C,1
04087,C,1
04088,B1,3
04090,C,1
04091,C,1
04092,C,1
04093,C,1
04094,B1,3
04095,C,1
04096,C,1
04097,C,1
04099,C,1
04101,C,1
04102,C,1
04104,C,1
04106,C,1
04107,C,1
04108,C,1
04109,C,1
04110,C,1
04111,B2,2
04112,B1,3
04113,C,1
04115,C,1
04116,B2,2
04118,C,1
04120,C,1
04121,C,1
04122,C,1
04123,C,1
04124,C,1
04126,C,1
04127,C,1
04128,C,1
04129,C,1
04130,C,1
04132,C,1
04133,C,1
04134,C,1
04135,C,1
04136,C,1
04137,C,1
04138,C,1
04139,C,1
04140,C,1
04141,C,1
04142,C,1
04143,B2,2
04144,C,1
04145,C,1
04148,C,1
04149,B2,2
04150,C,1
04151,C,1
04152,B1,3
04154,C,1
04155,C,1
04156,C,1
04157,C,1
04158,C,1
04159,C,1
04160,C,1
04161,C,1
04162,C,1
04163,C,1
04164,C,1
04166,C,1
04167,C,1
04169,C,1
04170,C,1
04171,C,1
04172,C,1
04173,C,1
04174,C,1
04175,C,1
04176,C,1
04177,C,1
04178,C,1
04179,C,1
04180,C,1
04181,C,1
04182,C,1
04183,C,1
04184,C,1
04186,C,1
04187,C,1
04188,C,1
04189,B2,2
04190,C,1
04191,C,1
04192,C,1
04193,C,1
04194,C,1
04195,C,1
04197,B2,2
04199,C,1
04200,C,1
04201,C,1
04202,C,1
04203,C,1
04204,C,1
04205,C,1
04206,C,1
04207,C,1
04208,C,1
04209,B2,2
04210,C,1
04211,C,1
04214,C,1
04216,C,1
04217,C,1
04218,C,1
04219,C,1
04220,C,1
04222,C,1
04224,C,1
04226,C,1
04227,C,1
04228,C,1
04229,C,1
04230,B2,2
04231,C,1
04233,C,1
04234,C,1
04235,C,1
04236,C,1
04237,C,1
04240,C,1
04241,C,1
04242,B2,2
04244,C,1
04245,B2,2
05001,C,1
05003,C,1
05004,C,1
05006,C,1
05007,C,1
05008,C,1
05009,C,1
05010,C,1
05011,C,1
05012,B2,2
05013,C,1
05014,C,1
05016,C,1
05017,C,1
05018,C,1
05019,C,1
05021,C,1
05022,C,1
05023,A,4
05024,C,1
05025,C,1
05026,C,1
05027,C,1
05028,C,1
05029,C,1
05031,C,1
05032,C,1
05033,C,1
05035,C,1
05036,B1,3
05037,C,1
05038,C,1
05039,C,1
05040,B1,3
05044,C,1
05045,B2,2
05046,B1,3
05047,C,1
05048,C,1
05049,C,1
05050,C,1
05051,C,1
05052,C,1
05053,C,1
05054,C,1
05055,C,1
05056,C,1
05057,C,1
05058,C,1
05059,C,1
05060,C,1
05061,B1,3
05062,C,1
05063,B2,2
05064,C,1
05065,C,1
05066,C,1
05068,C,1
05070,C,1
05071,C,1
05072,C,1
05073,C,1
05074,C,1
05075,C,1
05076,C,1
05077,C,1
05078,C,1
05079,A,4
05080,C,1
05081,C,1
05082,C,1
05084,C,1
05085,B2,2
05086,C,1
05087,C,1
05089,C,1
05090,C,1
05091,C,1
05092,C,1
05093,B2,2
05094,C,1
05095,C,1
05096,C,1
05097,C,1
05098,B1,3
05099,C,1
05100,C,1
05101,B1,3
05102,C,1
05103,C,1
05104,C,1
05106,C,1
05107,C,1
05108,C,1
05109,C,1
05110,B1,3
05111,C,1
05112,C,1
05113,C,1
05114,C,1
05115,C,1
05116,C,1
05117,C,1
05118,C,1
05119,C,1
05121,C,1
05122,C,1
05123,C,1
05124,C,1
05126,C,1
05127,C,1
05128,C,1
05129,C,1
05130,C,1
05131,C,1
05132,C,1
05133,A,4
05134,C,1
05135,C,1
05136,C,1
05139,C,1
05140,C,1
05142,C,1
05144,C,1
05145,C,1
05146,C,1
05147,C,1
05148,C,1
05149,C,1
05151,B1,3
05152,C,1
05153,C,1
05154,C,1
05155,C,1
05156,B1,3
05157,C,1
05158,C,1
05159,C,1
05160,C,1
05161,B1,3
05162,C,1
05163,C,1
05164,C,1
05165,C,1
05166,C,1
05167,C,1
05168,C,1
05169,C,1
05170,C,1
05171,C,1
05172,C,1
05173,C,1
05174,B2,2
05176,C,1
05177,B1,3
05178,C,1
05179,C,1
05180,B2,2
05181,B2,2
05182,C,1
05183,C,1
05184,C,1
06001,C,1
