rang,code_insee,nom_standard,dep_nom,reg_nom,population,densite,nb_coproprietes,total_lots_stationnement,taux_motorisation,part_collectif,taux_voiture_sans_garage,score_potentiel
1,74008,Ambilly,Haute-Savoie,Auvergne-Rhône-Alpes,6166,5096.0,137.0,3766.0,82.45558303954046,85.59,15.61,68.97
2,78158,Le Chesnay-Rocquencourt,Yvelines,Île-de-France,30924,7192.0,258.0,17442.0,82.45257490547883,85.06,7.97,68.7
3,06011,Beaulieu-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,3796,3515.0,176.0,2284.0,74.16266619025694,89.72,24.57,67.85
4,92060,Le Plessis-Robinson,Hauts-de-Seine,Île-de-France,29228,8571.0,240.0,13128.0,80.29325069708125,89.59,9.74,66.63
5,74012,Annemasse,Haute-Savoie,Auvergne-Rhône-Alpes,37918,7676.0,538.0,17089.0,76.50987991873518,93.94,14.77,65.64
6,74119,Évian-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,9214,2075.0,347.0,5414.0,85.27355847658409,84.38,23.35,65.57
7,74010,Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,131715,8258.0,2192.0,43255.0,82.16488201254568,86.41,21.35,65.49
8,06030,Le Cannet,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,41597,5416.0,836.0,21008.0,78.67304605229683,85.73,10.9,65.27
9,92051,Neuilly-sur-Seine,Hauts-de-Seine,Île-de-France,59267,15975.0,1426.0,21962.0,63.011284008575736,95.57,21.59,64.85
10,06012,Beausoleil,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,12674,4526.0,461.0,5444.0,69.23125824706543,89.9,20.51,64.04
11,06004,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,75130,2784.0,2162.0,57154.0,80.16034527880382,84.82,6.82,63.63
12,67043,Bischheim,Bas-Rhin,Grand Est,17939,4096.0,325.0,4534.0,73.78027041444041,85.45,35.11,63.54
13,92019,Châtenay-Malabry,Hauts-de-Seine,Île-de-France,34898,5478.0,280.0,12324.0,78.91636424193855,88.34,15.79,63.16
14,63075,Chamalières,Puy-de-Dôme,Auvergne-Rhône-Alpes,17454,4642.0,463.0,9633.0,83.56945111495155,82.61,8.22,63.07
15,06123,Saint-Laurent-du-Var,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,30941,3299.0,605.0,19285.0,85.6391874087437,84.0,0.61,62.79
16,64122,Biarritz,Pyrénées-Atlantiques,Nouvelle-Aquitaine,25764,2086.0,1492.0,12332.0,79.41094798206329,78.23,29.48,62.77
17,94067,Saint-Mandé,Val-de-Marne,Île-de-France,21195,23550.0,601.0,4744.0,51.89352359480512,95.71,30.5,62.72
18,92071,Sceaux,Hauts-de-Seine,Île-de-France,20488,5691.0,270.0,5002.0,74.9715460307798,78.78,16.05,62.54
19,92033,Garches,Hauts-de-Seine,Île-de-France,17898,6604.0,255.0,6563.0,80.00175590754164,75.1,8.04,62.52
20,06029,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,73255,3490.0,2899.0,46980.0,71.78002044233726,92.72,14.75,62.48
21,38185,Grenoble,Isère,Auvergne-Rhône-Alpes,157477,8485.0,3862.0,35484.0,60.95787791499175,95.77,37.91,62.46
22,69149,Oullins-Pierre-Bénite,Rhône,Auvergne-Rhône-Alpes,27113,6219.0,479.0,6937.0,76.0599987143162,79.52,25.93,62.34
23,92048,Meudon,Hauts-de-Seine,Île-de-France,46342,4657.0,553.0,9385.0,72.94927019655105,86.13,31.67,62.33
24,92023,Clamart,Hauts-de-Seine,Île-de-France,54491,6220.0,783.0,14090.0,71.56101883488547,73.2,24.34,62.15
25,33009,Arcachon,Gironde,Nouvelle-Aquitaine,11259,1458.0,714.0,10237.0,79.67898140721395,67.79,15.98,62.11
26,59368,La Madeleine,Nord,Hauts-de-France,22488,8360.0,326.0,5723.0,72.73431792083909,70.08,32.0,62.07
27,67447,Schiltigheim,Bas-Rhin,Grand Est,34129,4473.0,761.0,9025.0,71.09928956297321,88.82,36.63,61.9
28,34192,Palavas-les-Flots,Hérault,Occitanie,5881,639.0,414.0,4003.0,84.80398255371429,83.49,31.03,61.86
29,78686,Viroflay,Yvelines,Île-de-France,16960,4860.0,255.0,3532.0,78.3822869315743,66.79,23.21,61.83
30,77288,Melun,Seine-et-Marne,Île-de-France,42367,5296.0,683.0,10309.0,69.18822827704456,85.11,28.44,61.81
