Geo Point;Geo Shape;insee;ident;nom;exploit;siret;infor;adresse;ta_titul;ta_ntitul;th_quar;th_demi;th_heur;th_2;th_3;th_4;th_10;th_24;th_nuit;ta_resmoi;ta_nres7j;ta_moimot;ta_moivel;ta_type;ta_handi;tv_1h;an_serv;secteur;propr;typgest;type;nb_niv;gabari_std;gabari_max;np_hginf;np_hgsup;np_global;np_fourr;np_pr;np_total;np_pmr;np_vle;np_covoit;np_mobalt;np_stlav;np_2rmot;np_2rele;np_veltot;np_velec;url;titul;etat;total;libres;prepaye;connecte;mdate;cdate;gid
44.8753791, -0.5444684;"{""coordinates"": [-0.5444684, 44.8753791], ""type"": ""Point""}";33063;CUBPK44;Parc Relais Brandenburg;KEOLIS;80822705200012;forfait court-séjour, 3.5€ pour tous les occupants du VL;Boulevard Albert Brandenburg 33000 Bordeaux;0.0;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;;;;;;0.0;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2009;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.1;2.1;0;0;211;0;211;211;6;0;5;0;0;20;0;20;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;211;4;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;244
44.8557026, -0.5630087;"{""coordinates"": [-0.5630087, 44.8557026], ""type"": ""Point""}";33063;CUBPK14;Bord'Eau Village;Q_PARK;37888823401562;;Quai des Chartrons 33000 Bordeaux;;;0.9;1.9;3.4;7.3;10.6;13.5;28.1;32.3;8.8;143.0;143.0;143.0;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2005;CENTRE;AUTRE;GESTION_PRIVEE;SILO;4;1.9;1.9;0;0;540;0;0;540;23;0;0;0;0;10;0;90;0;https://www.q-park.fr/fr-fr/villes/bordeaux/bord-eau-village/;Q_PARK;LIBRE;540;247;0.0;1;2026-03-30T12:29:36+00:00;2018-06-01T00:00:00+00:00;245
44.8291288, -0.5633484;"{""coordinates"": [-0.5633484, 44.8291288], ""type"": ""Point""}";33063;CUBPK04;Meunier - Saint Jean;INDIGO;43161642400062;Abonnement gratuit pour les vélos;Sous la Place André Meunier - 33000  BORDEAUX;;;0.5;1.2;2.4;4.2;5.5;6.9;14.1;21.1;7.0;60.3;115.5;39.9;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2012;CENTRE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;4;1.9;1.9;0;0;330;0;0;330;7;17;0;0;0;20;0;30;0;https://fr.parkindigo.com/parking/bordeaux-33800/meunier-u3300300;BP3000;LIBRE;323;0;0.0;0;2026-03-18T04:00:40+00:00;2018-06-01T00:00:00+00:00;247
44.8223342, -0.5552405;"{""coordinates"": [-0.5552405, 44.8223342], ""type"": ""Point""}";33063;CUBPK94;P4 Belcier -  Gare Saint Jean;INDIGO;320 229 644 05241;accès identique pour P4 et P3 Indigo Belcier - Saint Jean;Pont du Guit - angle rue des Gamins 33800 Bordeaux;;;2.3;46.0;9.2;14.0;16.8;22.4;34.5;34.5;;;;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2019;CENTRE;SNCF;AUTORISATION_OCCUPATION_TEMPORAIRE;SILO;6;1.88;1.88;0;0;765;0;0;765;16;11;0;0;0;37;0;19;0;https://www.group-indigo.com/reference/parking-gare-saint-jean-belcier/;INDIGO_INFRA_FRANCE;COMPLET;600;0;0.0;0;2026-03-18T04:01:15+00:00;2019-10-01T13:43:51+00:00;503
44.9446852, -0.6181408;"{""coordinates"": [-0.6181408, 44.9446852], ""type"": ""Point""}";33312;CUBPK96;Gare Parempuyre;BORDEAUX_METROPOLE;243 300 316 00011;;Rue de la Fraternité 33290 Parempuyre;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;GRATUIT;GRATUIT;0.0;2009;PERIPHERIE;BORDEAUX_METROPOLE;AUTRE;SURFACE;0;2.2;2.2;0;0;151;0;0;151;4;2;10;0;0;0;0;12;0;https://www.bordeaux-metropole.fr/;BORDEAUX_METROPOLE;OUVERT;;;0.0;0;2025-03-05T13:50:13+00:00;2020-01-10T14:43:55+00:00;603
44.8918038, -0.669668;"{""coordinates"": [-0.669668, 44.8918038], ""type"": ""Point""}";33162;CUBPK97;Parc Relais Cantinolle;KEOLIS;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL. 476 places ouvertes à mi2023 sur 622 au total;Avenue du Taillan-Médoc 33320 Eysines;0.0;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;;;;;;;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2020;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;4;2.9;1.9;0;0;624;0;624;624;15;20;0;0;0;16;0;24;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;620;526;0.0;1;2026-03-30T12:31:01+00:00;2020-03-02T15:09:08+00:00;623
44.9189434, -0.6220381;"{""coordinates"": [-0.6220381, 44.9189434], ""type"": ""Point""}";33075;CUBPK76;Parc Relais Gare De Blanquefort;KEOLIS;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Jean Duvert 33290 Blanquefort;0.0;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;;;;;;;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2016;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.1;2.1;0;0;206;0;206;206;5;0;5;0;0;0;0;0;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;206;8;0.0;1;2026-03-30T12:31:01+00:00;2018-06-01T00:00:00+00:00;214
44.844251, -0.5766115;"{""coordinates"": [-0.5766115, 44.844251], ""type"": ""Point""}";33063;CUBPK03;Tourny;INDIGO;43161642400062;Abonnement gratuit pour les vélos, 48 places electriques en attente;Allées de Tourny - 33000  BORDEAUX;;;0.7;1.4;2.8;6.9;9.0;11.2;22.1;30.3;7.0;94.2;188.4;39.9;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;2.5;1974;HYPER_CENTRE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;2;1.85;1.85;0;0;957;0;0;957;20;48;0;0;6;11;0;15;0;https://fr.parkindigo.com/parking/bordeaux-33000/tourny-u3300500;BP3000;LIBRE;950;613;0.0;0;2026-03-18T04:00:49+00:00;2018-06-01T00:00:00+00:00;217
44.8400091, -0.5830064;"{""coordinates"": [-0.5830064, 44.8400091], ""type"": ""Point""}";33063;CUBPK24;Gambetta;METPARK;453 335 069 00010;Vélos: 50€/an ou 10€/mois, 6 places vélocargo;Rue Edmond Michelet 33000 Bordeaux;;;0.8;1.6;3.2;6.4;9.6;12.0;24.0;24.0;7.0;80.0;125.0;45.0;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;2.5;1981;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;3;1.8;1.8;0;0;438;0;0;438;7;102;0;0;8;28;0;44;12;https://www.mtpk.fr/;METPARK;LIBRE;438;61;0.0;1;2026-03-30T12:31:47+00:00;2018-06-01T00:00:00+00:00;222
44.8345879, -0.5800428;"{""coordinates"": [-0.5800428, 44.8345879], ""type"": ""Point""}";33063;CUBPK26;Republique;METPARK;453 335 069 00010;Fermé jusqu'en janvier 2026 Vélos: 50€/an ou 10€/mois, Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place de la République 33100 Bordeaux;;;0.8;1.6;3.2;6.4;9.6;12.0;24.0;24.0;7.0;80.0;125.0;45.0;10.0;PAYANT_TARIF_HORAIRE;AUTRE;2.5;1980;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;3;1.8;1.8;0;0;361;0;0;361;8;70;0;0;0;20;0;42;12;https://www.mtpk.fr/;METPARK;LIBRE;361;94;0.0;1;2026-03-30T12:31:51+00:00;2018-06-01T00:00:00+00:00;225
44.8437208, -0.5704253;"{""coordinates"": [-0.5704253, 44.8437208], ""type"": ""Point""}";33063;CUBPK02;Bourse - Jaures;INDIGO;43161642400062;Abonnement gratuit pour les vélos, 35brve Bourse et 48 Jaures;Place Jean Jaures - 33000  BORDEAUX;;;0.7;1.4;2.8;6.9;9.0;11.2;22.1;30.3;7.0;90.4;180.6;39.9;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;2.5;2004;HYPER_CENTRE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;7;2.0;2.6;20;0;1659;0;0;1659;34;83;0;0;3;44;0;60;0;https://fr.parkindigo.com/parking/bordeaux-33000/bourse-jean-jaures-u3300100;BP3000;LIBRE;1300;1025;0.0;0;2026-03-18T04:00:50+00:00;2018-06-01T00:00:00+00:00;227
44.8351853, -0.5643595;"{""coordinates"": [-0.5643595, 44.8351853], ""type"": ""Point""}";33063;CUBPK05;Salinieres;INDIGO;43161642400062;PLANS PARKING SUR  https://opendata.bordeaux-metropole.fr/backoffice/catalog/datasets/st_park_p/#export    Park remis en service le 26/10/2020;12 Quais des Salinières - 33000 BORDEAUX;;;0.5;1.2;2.4;4.2;5.5;6.9;14.1;21.1;7.0;60.9;115.5;39.9;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2003;HYPER_CENTRE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;5;2.0;2.6;10;0;407;0;0;407;8;21;0;0;0;16;0;62;0;https://fr.parkindigo.com/parking/bordeaux-33800/salinieres-u3300400;BP3000;LIBRE;400;83;0.0;0;2026-03-18T04:00:53+00:00;2018-06-01T00:00:00+00:00;228
44.8290368, -0.6033091;"{""coordinates"": [-0.6033091, 44.8290368], ""type"": ""Point""}";33063;CUBPK08;Chu Groupe Hospitalier Pellegrin;INDIGO;320 229 644 05241;2320 sur l'ensemble du CHU;Place Amelie Raba-Leon - 33100 BORDEAUX;;;0.0;0.0;1.7;4.0;5.3;8.2;17.4;17.4;;;;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;2012;CENTRE;CHU_GROUPE_HOSPITALIER_PELLEGRIN;DELEGATION_DE_SERVICE_PUBLIC_POUR_LE_CHU;SURFACE;1;4.0;4.0;0;0;2376;0;0;2376;45;0;0;0;0;0;0;484;0;https://fr.parkindigo.com/parking/bordeaux-33076/groupe-hospitalier-pellegrin-33000800;INDIGO_INFRA_FRANCE;OUVERT;;;0.0;0;2026-02-12T07:51:30+00:00;2018-06-01T00:00:00+00:00;250
44.8670739, -0.5762883;"{""coordinates"": [-0.5762883, 44.8670739], ""type"": ""Point""}";33069;CUBPK54;Parc Relais Ravezies Le Bouscat;KEOLIS;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Allées de Boutaut 33110 Le Bouscat;0.0;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;;;;;;0.0;PAYANT_TARIF_PARC_RELAIS;AUTRE;0.0;2008;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;6;2.0;2.0;0;0;366;0;366;366;9;2;10;0;0;26;0;24;6;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;366;55;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;256
44.8554013, -0.5956902;"{""coordinates"": [-0.5956902, 44.8554013], ""type"": ""Point""}";33069;CUBPK38;Liberation;METPARK;453 335 069 00010;"ancien nom; BARRIERE DU MEDOC";Avenue de la Libération 33110 Le Bouscat;;;0.6;1.2;2.4;4.8;7.2;9.0;9.0;9.0;5.0;50.0;70.0;30.0;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;1974;PERIPHERIE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;2;1.8;1.8;0;0;136;0;0;136;3;15;0;0;0;12;0;0;0;https://www.mtpk.fr/;METPARK;LIBRE;137;42;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;257
44.8539048, -0.5966865;"{""coordinates"": [-0.5966865, 44.8539048], ""type"": ""Point""}";33069;CUBPK74;Laharpe;METPARK;453 335 069 00010;ancien nom: IDDAC;Avenue d'Eysines 33200 Bordeaux;;;0.6;1.2;2.4;4.8;7.2;9.0;9.0;9.0;5.0;50.0;70.0;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;2016;PERIPHERIE;BORDEAUX_METROPOLE;REGIE_AUTONOME;SURFACE;1;2.1;2.1;0;0;83;0;0;83;3;28;0;0;0;0;0;0;0;https://www.mtpk.fr/;METPARK;LIBRE;80;10;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;258
44.8447411, -0.5105513;"{""coordinates"": [-0.5105513, 44.8447411], ""type"": ""Point""}";33167;CUBPK47;Parc Relais Floirac Dravemont;KEOLIS;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;Rue Salvador Allende 33270 Floirac;0.0;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;;;;;;;PAYANT_TARIF_PARC_RELAIS;NORMAL_PAYANT;0.0;2007;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;1;2.0;2.0;0;0;52;0;52;52;4;0;5;0;0;40;0;0;0;https://www.infotbm.com/fr/parc-relais;TBM;LIBRE;52;54;0.0;1;2026-03-30T12:30:41+00:00;2018-06-01T00:00:00+00:00;260
44.8238769, -0.5300949;"{""coordinates"": [-0.5300949, 44.8238769], ""type"": ""Point""}";33167;CUBPK82;Floirac Arena;METPARK;453 335 069 00010;"tarif parc relais hors heures de spectacles; forfait spectacle 15€ en 2025";Rue Pierre Kaldor 33270 Floirac;0.0;0.0;0.6;1.2;2.4;4.8;7.2;9.0;9.0;9.0;;50.0;70.0;30.0;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;2018;PERIPHERIE;METPARK;REGIE_AUTONOME;SILO;5;2.0;2.0;0;0;961;0;400;961;24;12;0;0;0;0;0;0;0;https://www.mtpk.fr/;METPARK;LIBRE;456;436;0.0;1;2026-03-30T12:32:04+00:00;2018-06-01T00:00:00+00:00;261
