id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;Xlong;Ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info
69029-P-001;Mermoz Pinel;69029;;;;;309;309;;;;;;;;;30807763500024;4.889791771058684;45.73047896009651;;;;;;;;;;Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Niveau 3 réservé aux abonnés PREMIUM : 100 places dont 3 places handicapés
69123-P-030;Part-Dieu - Félix Faure;69123;29 Rue Danton, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.85749879;45.75391423;;;3;;;24;8;8;;
69123-P-018;Albert Thomas - Gazagnon;69123;8 Impasse Gazagnon, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;200;96950545200017;4.87498675;45.74763872;;;;;;;90;90;;
69123-P-010;Montchat - Dr Long;69123;177 Cours Dr Long, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.89453;45.7528755;;;;;;;95;95;;
69123-P-008;Jean Jaurès - Simone de Beauvoir;69123;15 Rue Simone de Beauvoir, 69007, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.8334;45.7357048;;;;;;;97;97;;
69123-P-034;Part-Dieu – Vauban;69123;106 Rue Vauban, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.85266281;45.7656689;;;3;;;24;8;8;;
69123-P-033;Part-Dieu - Masséna;69123;102 Rue Masséna, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8548177;45.76551;;;3;;;24;135;135;;
69123-P-029;Part-Dieu - Brotteaux;69123;49 Boulevard des Brotteaux, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.85735315;45.76486005;;;3;;;24;125;125;;
69123-P-035;Thiers - Bellecombe;69123;28 Rue Petrequin, 69006, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;180;96950545200017;4.86248494;45.76753786;;;;;;;85;85;;
69123-P-028;Gare Part-Dieu - Flandin;69123;23 Rue Maurice Flandin, 69003, Lyon;https://www.lpa-and-co.fr/;abonnés;false;-1;;;;;;;;;190;96950545200017;4.8630575;45.7616839;;;3;;;24;110;110;;
