id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;xlong;ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info;id_entrees;adress_geo_entrees;arrdt;deleg;tel;horaire_na;asc_surf;date_ta;ab_1m_e;ab_1a_e;tarif_pr;pr_1a_mine;pr_1a_maxe;tarif_res;tf_res_1ae;date_th;tf_15mn_e;tf_30mn_e;tf_1h30_e;tf_7h_e;tf_8h_e;tf_9h_e;tf_10h_e;tf_11h_e;tf_12h_e;abpmr_1m_e;abpmr_1t_e;abpmr_1a_e;mis_a_jour;abve_1m_e;abve_1t_e;abve_1a_e;tmoto_1ehe;abmoto_1me;abmoto_1te;abmoto_1ae;tvelo_1m_e;point_x_entrees;point_y_entrees;zones_res;tf_15mn_mo;tf_30mn_mo;tf_24h_mot;tf_pr_moto;pr_1a_minm;pr_1a_maxm;tf_res_mo;tf_res_1am;parc_amod;ab_1a_patt;parc_relai;ab_1m_rela;tf_res_1me;pass_2rm;pass_2rm_1h;pass_2rm_1m;pass_2rm_3m;pass_2rm_1a;geo_shape;geo_point_2d
75112-P-017;PICPUS NATION;75112;65 m boulevard de picpus, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/picpus-nation-75120100;tous;0;894;0;16;0;0;0;10;0;0;190;66205324800065;2.39914441;48.84715454;;0.0;0.0;0.0;0.0;0.0;;;ouvrage;;17-E-A,17-E-B;65 M BOULEVARD DE PICPUS,77 M BOULEVARD DE PICPUS;12;SAEMES;0146286047;7j / 7;OUI;2025-05-29T02:00:00+00:00;;;NON;;;NON;;2025-05-29T02:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;2025-09-01T02:00:00+00:00;;;;;;;;;655905.41 | 655976.688;6860957.772 | 6860888.716;11E,11F,11G,11H,11J,11K,11L,12E,12G,12H,12J,12M,12N,12P,12R,20E,20F;;;;NON;;;NON;;NON;;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.399144408420854, 48.84715453724536], ""type"": ""Point""}";48.84715453724536, 2.399144408420854
75108-P-031;HAUSSMANN BERRI;75108;163 ter boulevard haussmann, 75008, Paris;https://www.saemes.fr/fr/parking/parking-haussmann-berri;tous;0;1649;0;20;48;57;0;0;48;0;190;31703299300741;2.30862835;48.87491094;tarif_special;4.8;9.6;14.4;19.2;43.2;216.0;270.0;ouvrage;tarif petit rouleur -40 % = contacter le parc,tarif PMR = 2,40 euros;31-E-A,31-E-B;163 TER BOULEVARD HAUSSMANN,164 TER BOULEVARD HAUSSMANN;8;SAEMES;0145639462;7j / 7;NON;2025-01-01T01:00:00+00:00;270.0;2700.0;OUI;1620.0;2160.0;NON;;2025-01-01T01:00:00+00:00;1.2;2.4;7.2;33.6;38.4;43.2;43.2;43.2;43.2;135.0;385.0;1350.0;2025-09-01T02:00:00+00:00;135.0;385.0;1350.0;1.65;94.0;269.0;940.0;12.0;649289.95 | 649366.283;6864098.393 | 6864125.512;8F,8G,8H,8J,17J,17K;0.45;0.85;14.85;OUI;562.0;750.0;NON;;NON;3380.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.308628350961074, 48.87491093781832], ""type"": ""Point""}";48.87491093781832, 2.308628350961074
75107-P-063;SUFFREN;75107;8 ter place joffre, 75007, Paris;https://fr.parkindigo.com;abonnés;0;0;0;0;0;0;0;0;0;0;190;72205418600035;2.30187526;48.85199765;;;;;;;;;ouvrage;abonnes tres longue duree;63-M-A;8 TER PLACE JOFFRE;7;INDIGO;0145484330;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;;;;648772.118;6861554.991;;;;;NON;;;NON;;OUI;;NON;;;NON;;;;;"{""coordinates"": [2.301875262082592, 48.851997645429044], ""type"": ""Point""}";48.851997645429044, 2.301875262082592
75117-P-123;WAGRAM COURCELLES;75117;103 ter rue jouffroy d abbans, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/wagram-courcelles-75170700;tous;0;205;0;5;0;0;0;0;0;0;190;72205418600035;2.30128819;48.88189715;;5.5;11.0;16.5;22.0;49.5;;359.0;ouvrage;;123-M-A;103 TER RUE JOUFFROY D ABBANS;17;INDIGO;0141720270;7j / 7;OUI;2025-04-01T02:00:00+00:00;359.0;3733.0;NON;;;NON;;2025-01-01T01:00:00+00:00;1.4;2.8;8.3;38.5;44.0;49.5;49.5;49.5;49.5;;;;2025-09-01T02:00:00+00:00;;;;;129.0;366.0;1341.0;;648758.459;6864879.949;;;;;NON;;;NON;;NON;4666.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3012881898046347, 48.88189715210569], ""type"": ""Point""}";48.88189715210569, 2.3012881898046347
75116-P-022;PORTE D AUTEUIL;75116;6 ter avenue du general sarrail, 75016, Paris;https://www.saemes.fr/fr/parking/parking-porte-dauteuil;tous;0;1116;0;23;250;37;20;6;250;0;185;31703299300741;2.25617101;48.8465712;tarif_special;4.6;9.2;13.8;18.4;41.4;135.0;169.0;ouvrage;tarif petit rouleur -40 % = contacter le parc,autre = 2 ter avenue du General Sarrail, 75016, Paris;22-E-A,22-E-B;6 TER AVENUE DU GENERAL SARRAIL,2 TER AVENUE DU GENERAL SARRAIL;16;SAEMES;0146519018;7j / 7;OUI;2025-01-01T01:00:00+00:00;169.0;1690.0;OUI;1012.0;1350.0;NON;;2025-01-01T01:00:00+00:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;84.0;239.0;840.0;2025-09-01T02:00:00+00:00;143.0;405.0;1430.0;1.6;59.0;168.0;590.0;11.0;645412.786 | 645427.735;6860982.25 | 6861036.013;16R,16S,16T,16U,16V,16W,16X,16Y,16Z,/+,riverains,rue,Ningesser,et,Coli;0.4;0.8;14.4;OUI;350.0;470.0;NON;;NON;2110.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2561710135174042, 48.846571201526544], ""type"": ""Point""}";48.846571201526544, 2.2561710135174042
75116-P-122;DELESSERT;75116;11 rue beethoven, 75016, Paris;https://www.saemes.fr/fr/parking/parking-delessert;abonnés;0;54;0;0;0;0;0;0;0;0;195;31703299300741;2.28700102;48.8586523;;;;;;;;370.0;ouvrage;abonnements avec reservation uniquement;122-E-A;11 RUE BEETHOVEN;16;SAEMES;0144829999;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;;;;647687.368;6862304.677;;;;;NON;;;NON;;NON;3700.0;NON;;;NON;;;;;"{""coordinates"": [2.287001022148921, 48.85865229967877], ""type"": ""Point""}";48.85865229967877, 2.287001022148921
75102-P-048;BOURSE;75102;12 quater place de la bourse, 75002, Paris;https://www.sags-parking.fr/parking/62/paris-bourse-grands-boulevards;tous;0;639;0;3;3;20;0;2;0;0;190;38933781700065;2.34077428;48.86963785;tarif_special;5.0;10.0;15.0;20.0;45.0;153.8;389.0;ouvrage;tarif PMR = 2,50 euros;48-M-A;12 QUATER PLACE DE LA BOURSE;2;SAGS;0186222327;7j / 7;PREVU;2025-01-01T01:00:00+00:00;389.0;3890.0;NON;;;OUI;1538.0;2025-08-01T02:00:00+00:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;0.0;0.0;0.0;2025-09-01T02:00:00+00:00;325.6;927.8;3255.4;1.75;136.1;387.9;1361.0;10.0;651642.807;6863491.9;1E,2E,3E,9G,10F;0.45;0.9;15.75;NON;;;OUI;538.0;NON;4862.0;NON;;153.8;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3407742821452326, 48.86963785246203], ""type"": ""Point""}";48.86963785246203, 2.3407742821452326
75106-P-121;SAINTS PERES;75106;47 ter rue jacob, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/saints-peres-75060300;abonnés;0;0;0;0;0;0;0;0;0;0;190;69200653900138;2.33236355;48.8560091;;;;;;;;386.0;ouvrage;abonnes tres longue duree;121-E-A;47 TER RUE JACOB;6;INDIGO;0145491855;POUR ABONNES;NON;1900-01-01T00:09:21+00:00;;;NON;;;NON;;1900-01-01T00:09:21+00:00;;;;;;;;;;;;;2025-09-01T02:00:00+00:00;;;;;;;;;651013.043;6861981.68;;;;;NON;;;NON;;OUI;4014.0;NON;;;NON;;;;;"{""coordinates"": [2.332363548769055, 48.85600910000859], ""type"": ""Point""}";48.85600910000859, 2.332363548769055
75116-P-043;PORTE DE SAINT CLOUD;75116;10 avenue de la porte de saint cloud, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/porte-de-saint-cloud-75161400;tous;0;1206;100;28;3;12;0;0;3;0;190;39418789200440;2.25373418;48.8387931;tarif_special;4.6;9.2;13.8;18.4;41.4;161.0;202.0;ouvrage;tarif petit rouleur -40 % = contacter le parc,tarif PMR = 2,30 euros;43-E-A;10 AVENUE DE LA PORTE DE SAINT CLOUD;16;INDIGO;0146512868;7j / 7;OUI;2025-04-01T02:00:00+00:00;202.0;2100.0;OUI;1260.0;1680.0;NON;;2024-01-01T01:00:00+00:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;101.0;285.0;1050.0;2025-09-01T02:00:00+00:00;101.0;285.0;1050.0;1.6;70.0;198.0;735.0;10.0;645225.786;6860119.101;15M,15N,16P,16R,16S,16T,16U,16V,16W,16X,16Y,16Z;0.4;0.8;14.4;OUI;441.0;588.0;NON;;NON;2625.0;OUI;75.0;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2537341768396497, 48.83879310277174], ""type"": ""Point""}";48.83879310277174, 2.2537341768396497
75112-P-127;LYON DIDEROT;75112;196 rue de  bercy, 75012, Paris;https://www.effia.com/parking/parking-paris-gare-de-lyon-diderot-effia;tous;0;305;0;6;5;0;0;0;5;0;190;31703299300741;2.37216992;48.84468165;;5.2;10.1;15.0;19.8;40.2;;300.68;ouvrage;;127-E-A;196 RUE DE  BERCY;12;SAEMES;0153176308;7j / 7;OUI;2025-01-01T01:00:00+00:00;;;NON;;;NON;;2025-01-01T01:00:00+00:00;1.4;2.8;7.7;32.5;36.5;40.2;40.2;40.2;40.2;;;;2025-09-01T02:00:00+00:00;;;;2.6;115.5;;;;653923.706;6860698.212;;0.7;1.4;20.1;NON;;;NON;;NON;;NON;;;NON;;;;;"{""coordinates"": [2.3721699240728196, 48.84468165061534], ""type"": ""Point""}";48.84468165061534, 2.3721699240728196
